index,answer,prediction,answer_clean,pred_clean,correct,cer,wer,jaro_winkler
43,8 - я ЛИНИЯ 143, J 143,8 - я линия 143,j 143,False,0.7333333333333333,0.8,0.5777777777777777
44,ДЗГОЕВ ФЕДОР СТЕПАНОВИЧ,A3rOEB 中ENOPCTENAHOBMY Ko 1243375- bonroponOTeLD-中auNoTooo CFDRKCAOAAMBH3HACOOOOKRN P9cH Bnagansna610 aoryea 1911COT 1843rnpo cnn Xapbcon npon pco.C 211955 BaroeBs. Ke,дзгоев федор степанович,a3roeb 中enopctenahobmy ko 1243375- bonroponoteld-中aunotooo cfdrkcaoaambh3hacooookrn p9ch bnagansna610 aoryea 1911cot 1843rnpo cnn xapbcon npon pco.c 211955 baroebs. ke,False,7.173913043478261,6.0,0.633689143452226
45,"30 
 1223",30 1223,30   1223,30 1223,False,0.2222222222222222,0.0,0.051851851851851816
46,Денежный поток,yayeAen FnSF YRY JeHenotok FFF,денежный поток,yayeaen fnsf yry jehenotok fff,False,2.0714285714285716,2.5,0.6317460317460317
47,КОРАЛЛОВАЯ 18 УЛИЦА,KOPANNOBAA 18 V 三 gde,коралловая 18 улица,kopannobaa 18 v 三 gde,False,0.8947368421052632,1.3333333333333333,0.532999164578112
48,"Петрова 
 Ирина 
 Васильевна 
 12.03.1898 - 14.05.1973",HeTooBa HoHHa BacHAbEBHa 12.03.1898-14.05.1973,петрова   ирина   васильевна   12.03.1898 - 14.05.1973,hetooba hohha bachabebha 12.03.1898-14.05.1973,False,0.5555555555555556,1.0,0.34460547504025774
49,2А УЛИЦА ИГНАТЬЕВСКАЯ,2A yANUA GKAA X,2а улица игнатьевская,2a yanua gkaa x,False,0.8571428571428571,1.3333333333333333,0.5523809523809524
50,ТРУДЫ ПО ЕВРЕЙСКОЙ ИСТОРИИ И КУЛЬТУРЕ,BD TPYAHI IIO EEPEICOMCTOPHM HKYAbTyPE MaTaAMXXTlIMeKAsPuHo eseroAnotxoegepeiuprd Do HyAaKe Burrcx 54 2117,труды по еврейской истории и культуре,bd tpyahi iio eepeicomctophm hkyabtype mataamxxtlimekaspuho eseroanotxoegepeiuprd do hyaake burrcx 54 2117,False,2.72972972972973,2.0,0.60589835118137
51,ТЕХНОЛОГИИ ТУРИСТСКОЙ ДЕЯТЕЛЬНОСТИ: СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,TEXHONOFMN TYPNCTCKOMAEATENbHOCTN: PA3BMTMA COCTORHMEMDEPCDEKTMBB CMONEHCK.2017,технологии туристской деятельности: состояние и перспективы развития,texhonofmn typnctckomaeatenbhoctn: pa3bmtma coctorhmemdepcdektmbb cmonehck.2017,False,1.1176470588235294,1.0,0.6877264829982626
52,Сергей Орлов,Cepzei Opio8,сергей орлов,cepzei opio8,False,0.9166666666666666,1.0,0.6111111111111112
53,СИЛА ЦВЕТА' МОСКВА,CHNA LIBETA' MOCKBA,сила цвета' москва,chna libeta' mockba,False,0.8888888888888888,1.0,0.5584795321637428
54,бомбезная кепка,RENKA 6OMGE3HAR,бомбезная кепка,renka 6omge3har,False,1.0,1.0,0.6222222222222222
55,росгвардия,POCrBAPAMA,росгвардия,pocrbapama,False,1.0,1.0,1.0
56,ПРОМ ПЕЧАТЬ,IPOM D nEYATb,пром печать,ipom d neyatb,False,1.0909090909090908,1.5,0.6107226107226107
57,СВОЙ ДИЗАЙН,CBOn QM3AIH,свой дизайн,cbon qm3aih,False,0.9090909090909091,1.0,0.606060606060606
58,ВЫШЕ НОС КУСОК МЯСА!,MACA!,выше нос кусок мяса!,maca!,False,0.95,1.0,1.0
59,TopCAR,ToptOar,topcar,toptoar,False,0.3333333333333333,1.0,0.10555555555555551
60,Shut up and FISH!,CHUTUR FISH,shut up and fish!,chutur fish,False,0.47058823529411764,1.0,0.25450584274113686
61,logo,logo,logo,logo,True,0.0,0.0,0.0
62,SENDAYS BEST,SONDAYS 口 BEST,sendays best,sondays 口 best,False,0.25,1.0,0.0892857142857143
63,GRL PWR,GRLM PWR,grl pwr,grlm pwr,False,0.14285714285714285,0.5,0.029166666666666674
64,go,k Sigo,go,k sigo,False,2.0,2.0,1.0
65,"Mr. 
 Cards",AMr. Cards,mr.   cards,amr. cards,False,0.2727272727272727,0.5,0.09393939393939388
66,T-Rex is BEST,T-Rex 16 BEST!,t-rex is best,t-rex 16 best!,False,0.23076923076923078,0.6666666666666666,0.10999000999000996
67,Stale,YRIATION oeae,stale,yriation oeae,False,2.2,2.0,0.6487179487179486
68,SHERIFF,SHERIFF,sheriff,sheriff,True,0.0,0.0,0.0
69,I WAS BORN TO FLY,,i was born to fly,nan,False,0.8823529411764706,1.0,0.40522875816993464
70,ANKER,BANKER,anker,banker,False,0.2,1.0,0.05555555555555547
71,ХочуПива,KeryTula,хочупива,kerytula,False,1.0,1.0,1.0
72,CRUSH ON YOU,CRUSH ON YOU,crush on you,crush on you,True,0.0,0.0,0.0
73,REDNECK RAMPAGE,REDNECK RAMPAGE,redneck rampage,redneck rampage,True,0.0,0.0,0.0
74,ALENCIAGA,MLENCIAGA,alenciaga,mlenciaga,False,0.1111111111111111,1.0,0.07407407407407407
75,"YORK 
 08",CNI YORUK 08,york   08,cni yoruk 08,False,0.7777777777777778,1.0,0.2314814814814815
76,СБУ,c6y,сбу,c6y,False,1.0,1.0,1.0
77,031НШЕ,03IHLIE,031нше,03ihlie,False,0.8333333333333334,1.0,0.46031746031746035
78,"OF CITY 
 STON",STON,of city   ston,ston,False,0.7142857142857143,0.6666666666666666,0.6190476190476191
79,RAP,RAP,rap,rap,True,0.0,0.0,0.0
80,YOUTH,VOUTH,youth,vouth,False,0.2,1.0,0.1333333333333333
81,PUmA,pumA,puma,puma,True,0.0,0.0,0.0
82,ASICS TIGER,NE,asics tiger,ne,False,0.9090909090909091,1.0,1.0
83,adidas,,adidas,nan,False,0.8333333333333334,1.0,0.5
84,NIKE,,nike,nan,False,0.75,1.0,0.4722222222222222
85,Vans,心  VANS,vans,心  vans,False,0.75,1.0,1.0
86,day,Foday,day,foday,False,0.6666666666666666,1.0,1.0
87,RAINE,CKRAINE,raine,ckraine,False,0.4,1.0,0.09523809523809523
88,ТРЕЗВЫЙ И БЕЗ ДЕНЕГ,TPE3BbIN M 6E3 AEHEr,трезвый и без денег,tpe3bbin m 6e3 aeher,False,0.8947368421052632,1.0,0.5640350877192983
89,ЛУКОЙЛ,以 JYKORn,лукойл,以 jykorn,False,1.3333333333333333,2.0,1.0
90,DIMA 29,DIMA 29,dima 29,dima 29,True,0.0,0.0,0.0
91,LET'S PLAY,PAS,let's play,pas,False,0.8,1.0,0.5222222222222221
92,KIDS,KIDS ,kids,kids,True,0.0,0.0,0.0
93,"tephen Ki Book Signing day, November 11th at 6","Ctephen KI STES Books Signing day,November11that6","tephen ki book signing day, november 11th at 6","ctephen ki stes books signing day,november11that6",False,0.2391304347826087,0.8888888888888888,0.15557871277934832
94,FBI,EBI,fbi,ebi,False,0.3333333333333333,1.0,0.22222222222222232
95,simple trin,,simple trin,nan,False,0.9090909090909091,1.0,1.0
96,TAJIMA,TAJIMA  y,tajima,tajima  y,False,0.5,1.0,0.06666666666666665
97,Шарден дом вкуса,EAA d0 lapleH!  FOM BKYCA,шарден дом вкуса,eaa d0 lapleh!  fom bkyca,False,1.4375,1.6666666666666667,0.5983333333333334
98,Мой .рф,Mou ME,мой .рф,mou me,False,0.8571428571428571,1.0,0.5634920634920635
99,Jack Wolfskin,Jack Wolfskin,jack wolfskin,jack wolfskin,True,0.0,0.0,0.0
100,ДИЗАЙН ВЫВЕСКИ,AN3ANHBbIBECKH,дизайн вывески,an3anhbbibeckh,False,1.0,1.0,1.0
101,PANDORA,PANDORA,pandora,pandora,True,0.0,0.0,0.0
102,ПРОДУК,nPOayk,продук,npoayk,False,1.0,1.0,1.0
103,"PIZZERSA 
 Z 
 HOLLE",PIZZERA HOLLE,pizzersa   z   holle,pizzera holle,False,0.35,0.6666666666666666,0.07000000000000006
104,ОЛИМП,OAHMI,олимп,oahmi,False,1.0,1.0,1.0
105,САМОВАРЪ,CAMOBAPb,самоваръ,camobapb,False,1.0,1.0,1.0
106,GRAFF G MEDIA,GRAFF MEDIA,graff g media,graff media,False,0.15384615384615385,0.3333333333333333,0.03076923076923077
107,SHOP,SHOP,shop,shop,True,0.0,0.0,0.0
108,PIZZA,PIZZA ,pizza,pizza,True,0.0,0.0,0.0
109,M,m,m,m,True,0.0,0.0,0.0
110,этисэль САЛОН КРАСОТЫ этисэль САЛОН КРАСОТЫ этисэль,DMuCOK CAnOH KPACOTE aMuCaK CAnOH KPACOTH aMUCaN,этисэль салон красоты этисэль салон красоты этисэль,dmucok canoh kpacote amucak canoh kpacoth amucan,False,0.8823529411764706,1.0,0.5857843137254901
111,Перспектива ,CENTURY ZI nepcneKTMBa,перспектива,century zi nepcnektmba,False,2.0,3.0,1.0
112,PARK,PHRK 心,park,phrk 心,False,0.75,2.0,0.22499999999999998
113,ЭЛЕКТРО ПРОВОДКА,TEKTPO nPOBOAKA,электро проводка,tektpo npoboaka,False,0.9375,1.0,0.6236111111111111
114,HYUNDAI,HYUNDAI,hyundai,hyundai,True,0.0,0.0,0.0
115,Красное Бел,KpacHoe Beo,красное бел,kpachoe beo,False,0.9090909090909091,1.0,0.606060606060606
116,ФизКульт СЕТЬ ФИТНЕС КЛУБОВ,中H3KynbT CETbOWTHEC K月Y5OB,физкульт сеть фитнес клубов,中h3kynbt cetbowthec k月y5ob,False,0.9259259259259259,1.0,0.6163342830009497
117,CH CH,CH-CH,ch ch,ch-ch,False,0.2,1.0,0.10666666666666669
118,MAMA DOMA товары для дома,DOMA MAMA moBopudnadoMo,mama doma товары для дома,doma mama mobopudnadomo,False,0.76,0.8,0.45507246376811594
119,САЛОН КРАСОТЫ,CAAOH KPACOTbI,салон красоты,caaoh kpacotbi,False,1.0,1.0,0.6172161172161172
120,Абсолют Банк,AbconioT BaHk,абсолют банк,abconiot bahk,False,1.0,1.0,0.6132478632478633
121,"ГОСУДАРСТВЕННЫЙ 
 ДРАМАТИЧЕСКИЙ 
 ТЕАТР",TOCYIAPCTBEHHbIN IPAMATHYECKHM TEATP,государственный   драматический   театр,tocyiapctbehhbin ipamathyeckhm teatp,False,0.9487179487179487,1.0,0.6310541310541311
122,OPEN,OPEN,open,open,True,0.0,0.0,0.0
123,"всЕзнайка 
 Дитяча студiя розвитку",,всезнайка   дитяча студiя розвитку,nan,False,1.0,1.0,1.0
124,ЧАСОВАЯ МАСТЕРСКАЯ,HACOBAH MACTEPCHAH Muti Kei Cai Bston nnmo,часовая мастерская,hacobah mactepchah muti kei cai bston nnmo,False,2.2777777777777777,3.5,0.6402116402116402
125,КНИГИ,BRDS NGS241RU,книги,brds ngs241ru,False,2.6,2.0,1.0
126,ApiJo,Apiuo,apijo,apiuo,False,0.2,1.0,0.09333333333333327
127,ОБУВЬ,o5yBb,обувь,o5ybb,False,1.0,1.0,1.0
128,Банк Клиентский,BaHK KnMeHTCKMA,банк клиентский,bahk knmehtckma,False,0.9333333333333333,1.0,0.6222222222222222
129,-А,,-а,nan,False,1.5,1.0,1.0
130,PASCUCCI,PASCUCCI,pascucci,pascucci,True,0.0,0.0,0.0
131,ВЪЕЗД НЕ ЗАНИМАТЬ ШТРАФ 2 КОЛЕСА В ЧАС,BbE3n HE 3AHNMATb WTPA中 2 KONECA B YAC,въезд не занимать штраф 2 колеса в час,bbe3n he 3ahnmatb wtpa中 2 koneca b yac,False,0.7894736842105263,0.875,0.5263157894736843
132,Дореволюционные вывески в Москве,opeBOnIOuNOHHbleBbIBeCKHBMoCKBe,дореволюционные вывески в москве,opeboniounohhblebbibeckhbmockbe,False,1.0,1.0,1.0
133,"VANIL' 
 кофе булочка",VANIL koqe&6yAo4ka,vanil'   кофе булочка,vanil koqe&6yao4ka,False,0.7142857142857143,1.0,0.46031746031746035
134,ЕЙ ГНИ РМАРК,,ей гни рмарк,nan,False,1.0,1.0,1.0
135,ВЫВЕСКА ВЫВЕСКА,HF Goen 05# BbIBECKA BbIBECKA He 6oe AL4 lr Gon,вывеска вывеска,hf goen 05# bbibecka bbibecka he 6oe al4 lr gon,False,3.066666666666667,5.0,0.6373522458628842
136,АПТЕКА,ANTEKA,аптека,anteka,False,1.0,1.0,1.0
137,ESTHETIC CENTER MEAMO,MEAMO,esthetic center meamo,meamo,False,0.7619047619047619,0.6666666666666666,0.584126984126984
138,-1 URAL FERRUM FI HT LU,FERRUM M-1URAL FIGHTCLUB,-1 ural ferrum fi ht lu,ferrum m-1ural fightclub,False,0.6521739130434783,0.8333333333333334,0.19903381642512075
139,красный куб,KPACHbIG KY6,красный куб,kpachbig ky6,False,1.0,1.0,0.6085858585858586
140,БУКВЫ,5yKBbl SAHHEP MAPKNUH BMTPHHHAR TPAGMKA,буквы,5ykbbl sahhep mapknuh bmtphhhar tpagmka,False,7.8,5.0,1.0
141,CHURCHILL,,churchill,nan,False,1.0,1.0,1.0
142,N,N,n,n,True,0.0,0.0,0.0
143,ЛЮКС ВОДА,MIOKCBOna,люкс вода,miokcbona,False,1.0,1.0,1.0
144,охОта рыбалка,oxOra,охота рыбалка,oxora,False,1.0,1.0,1.0
145,"сеНоВал 
 трактир",CEHoM dn TpaKTup,сеновал   трактир,cehom dn tpaktup,False,0.9411764705882353,1.5,0.5857843137254901
146,Трюфель,lpicpeab OC,трюфель,lpicpeab oc,False,1.5714285714285714,2.0,1.0
147,WILDBERRIES,WILDBERRIES,wildberries,wildberries,True,0.0,0.0,0.0
148,G,C,g,c,False,1.0,1.0,1.0
149,ЗОЛОТАЯ СТРЕКОЗА,30NOTAA CTPEKO3A,золотая стрекоза,30notaa ctpeko3a,False,0.9375,1.0,0.625
150,МЕСТО ДЛЯ ВАШЕГО БРЕНДА,MEOTOAHHBAEEFO SPEHEA,место для вашего бренда,meotoahhbaeefo spehea,False,0.9565217391304348,1.0,0.6363008971704625
151,Park Claros,Claros,park claros,claros,False,0.45454545454545453,0.5,0.4949494949494949
152,"ИП Белик 
 РЕЖИМ РАБО 
 с 9:00",,ип белик   режим рабо   с 9:00,nan,False,1.0,1.0,1.0
153,WILDBERRIES,NN WILDBERRIES HA,wildberries,nn wildberries ha,False,0.5454545454545454,2.0,0.11764705882352944
154,Восточный ветер ТОРГОВЫЙ ЦЕНТР,OCTOYHbINBETEP TOPrOBbINLEHTP HABMTATOP PA3PAEOTKA.V3rOTOBNEHMEMMOHTAXPEKNAMHbIXKOHCTPYKLMD www.mign365.ru CTVnTb,восточный ветер торговый центр,octoyhbinbetep toprobbinlehtp habmtatop pa3paeotka.v3rotobnehmemmohtaxpeknamhbixkohctpyklmd www.mign365.ru ctvntb,False,3.6666666666666665,1.5,0.6244837758112094
155,МАГНИТ КОСМЕТИК,MAIHHTIKOCMETNK,магнит косметик,maihhtikocmetnk,False,1.0,1.0,1.0
156,ruine,nine,ruine,nine,False,0.4,1.0,0.21666666666666667
157,Хинкальная,XuHKanbHaA,хинкальная,xuhkanbhaa,False,1.0,1.0,1.0
158,"DeSheli 
 Beauty center",DeSheli Beauty center DEsheli,desheli   beauty center,desheli beauty center desheli,False,0.43478260869565216,0.3333333333333333,0.12060787787924221
159,М.видео,.M.buqeo,м.видео,.m.buqeo,False,1.0,1.0,0.5773809523809523
160,БАНК ЮГРА,BAHK IorPA IOIPA,банк югра,bahk iorpa ioipa,False,1.6666666666666667,1.5,0.6087962962962963
161,The GENIUS,CDO THE GENIUS CAOHAKTACOTM CPOUnRNE BALTY Lowbwrmo OLknre wwn.giesbypnincon  CMot,the genius,cdo the genius caohaktacotm cpounrne balty lowbwrmo olknre wwn.giesbypnincon  cmot,False,7.2,4.0,0.35934959349593487
162,TRUSSARDI,TRUSSARDI Trussardi Jeans 10:022:00 SALE At -50%,trussardi,trussardi trussardi jeans 10:022:00 sale at -50%,False,4.333333333333333,6.0,0.16249999999999998
163,ОБУВЬ,,обувь,nan,False,1.0,1.0,1.0
164,долг Верни чорт,H gonr Bepny Y0PT,долг верни чорт,h gonr bepny y0pt,False,1.0,1.3333333333333333,0.5830065359477123
165,повестки в унитаз!,nOBeeTKU BYHMTA3!,повестки в унитаз!,nobeetku byhmta3!,False,0.8888888888888888,1.0,0.5904139433551199
166,"СПАСИБО, ВАЛЕРИЙ ГАРКАЛИН",CHACMGO BANEPMA FAPKAJIMH,"спасибо, валерий гаркалин",chacmgo banepma fapkajimh,False,0.96,1.0,0.6133333333333333
167,19-037-84-82 МИХАИЛ,19-037-84-82MWXAVI BCTRAHEADTO doT,19-037-84-82 михаил,19-037-84-82mwxavi bctraheadto dot,False,1.105263157894737,1.5,0.31114551083591335
168,baby it's cold outside,haby io cold Side,baby it's cold outside,haby io cold side,False,0.3181818181818182,0.75,0.1521836007130125
169,КУРСК - СТОЛИЦА СО КРАЯ,,курск - столица со края,nan,False,1.0,1.0,1.0
170,СМЕРТЬ,CMEPTb,смерть,cmeptb,False,1.0,1.0,1.0
171,МАША,59RU,маша,59ru,False,1.0,1.0,1.0
172,baby its Cold qutSide,elilbyr uiso Cotd eutside,baby its cold qutside,elilbyr uiso cotd eutside,False,0.47619047619047616,1.0,0.2891005291005291
173,KING OF THE STREET,KING OFTHO STReeT,king of the street,king oftho street,False,0.1111111111111111,0.5,0.07148692810457524
174,граждане! ПРИ АРТОБСТРЕЛЕ эта сторона улицы наиболее ОПАСНА,FPAKOAHEI NPN APTUGCTPEAE 3TACTTROHA SANUEI HANGINEE TNACHA,граждане! при артобстреле эта сторона улицы наиболее опасна,fpakoahei npn aptugctpeae 3tacttroha sanuei hanginee tnacha,False,0.9152542372881356,1.0,0.5988700564971752
175,МАТЕЛЕН НА ДОРОГЕ,OTB,мателен на дороге,otb,False,1.0,1.0,1.0
176,"МЫ 
 СЛЕДИМ",NeLmM VL.RU,мы   следим,nelmm vl.ru,False,1.0,1.0,0.606060606060606
177,spring96.org,spring96.org,spring96.org,spring96.org,True,0.0,0.0,0.0
178,63 школа ул. широт ая,63 WKOAA LACKITEOA kva5.ru,63 школа ул. широт ая,63 wkoaa lackiteoa kva5.ru,False,1.0,0.8,0.5500610500610501
179,средняя общеобразовательная школа №,JOTO-OCTOBOEOKPYOEPAIEREOEPAA UAPTAMEHTOSPASOBAHMRTOPORAMOCR MPASORATEIMROEYPRIRJREHETOPOILA IOCLAPCTEEESETE CPEIHAR OSEOSPA3OBATEJBHAA C.STHORY.TYPHGMTATAPCKHM WHOJIAN1IB6 KOMTIOHEHTOM OEPASOBAIHT,средняя общеобразовательная школа №,joto-octoboeokpyoepaiereoepaa uaptamehtospasobahmrtoporamocr mpasorateimroeyprirjrehetopoila ioclapcteeesete cpeihar oseospa3obatejbhaa c.sthory.typhgmtatapckhm whojian1ib6 komtiohehtom oepasobaiht,False,5.542857142857143,2.5,0.6330190959632584
180,бизнес-центр,GM3HEC-LEHTP,бизнес-центр,gm3hec-lehtp,False,0.9166666666666666,1.0,0.6111111111111112
181,"АМЕНТ ОБРАЗОВАНИЯ ГОРОДА 
 ВОСТОЧНОЕ ОКРУЖНОЕ УПРАВ 
 ВЕННОЕ ОБРАЗОВАТЕЛЬНОЕ У",BM3NKOM- PEKNANHO-IPOM3BOCTBEHHASK www.vizikom-ar AMEHT O6PA3OBAHNA rOPOAA BOCTOYHOE N OKPYXHOE ynPABr BEHHOE O5PA3OBATEnbHOE yu,амент образования города   восточное окружное управ   венное образовательное у,bm3nkom- peknanho-ipom3boctbehhask www.vizikom-ar ameht o6pa3obahna ropoaa boctoyhoe n okpyxhoe ynpabr behhoe o5pa3obatenbhoe yu,False,1.5128205128205128,1.4444444444444444,0.5841346153846154
